,Price,4G,Reporter,Crew Duration,edit duration,DayOfWeek,Report Duration (seconds),Client_bbc arabic,Client_beirutsat,Client_bloomberg asharq,Client_byblos medya,Client_newstime,Client_priyanka cgtn,Client_russia today,Truck_Nissan Sunny,Truck_Nissan X.Trail,Truck_Renault Duster,Truck_Suzuki Cias,Truck_other Truck,Others Acces_No Acces,Others Acces_Pro-X,Others Acces_Torch,Format_MP4-HD,Format_MXF,Format_MXF OP1A,Format_MXF-HD 50i,Format_No format
0,265,0,1,225,120,5,145,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,280,0,1,60,60,6,146,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2,265,0,1,260,90,0,160,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,265,0,1,315,120,0,145,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
4,180,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,250,0,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
6,280,0,1,90,60,1,194,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
7,180,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,265,0,1,145,120,2,156,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
9,250,0,1,235,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10,280,0,0,180,60,2,142,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
11,180,0,0,60,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,265,0,1,210,120,3,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
13,265,0,1,250,120,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
14,265,0,1,390,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
15,265,0,1,130,20,4,219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,280,0,1,60,90,4,170,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
17,180,0,1,60,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
18,50,0,1,0,120,4,193,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19,265,0,1,265,20,5,142,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
20,265,0,1,45,90,5,215,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
21,750,1,1,240,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
22,280,0,1,210,60,5,155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
23,285,0,0,120,60,5,250,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
24,40,0,1,0,120,5,194,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25,350,0,0,120,0,0,349,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
26,265,0,1,150,90,0,117,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
27,265,0,1,210,120,0,155,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
28,230,0,1,150,432,0,225,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
