Job No,Date,Client,Type, Pricing ,Truck,Location,Crew Event,Cameraman,Assistant,4G,Duration Crew,Crew Start Time,Crew End Time,Camera,Camera Qty,Others Acces,Reporter,Editor,Story,Report Duration,Format,Note,Edit S.T.,Edit E.T.,Crew Duration,edit duration
1,1-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,chouweifat,Event Description,Cameraman,Assistant Needed,no 4G,3:45,2023-08-17 13:00:00,2023-08-17 16:45:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:25,MXF,PKG report-Leila Khalil: 2022 Lebanon / Duration: 2Mins 25Secs,2023-08-17 14:30:00,2023-08-17 16:30:00,225.0,120.0
2,2-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 15:00:00,2023-08-17 16:00:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:26,MP4-HD,PKG report-Omar el Solh: Gebran Bassil speech / Duration: 2Mins 26Secs,2023-08-17 13:45:00,2023-08-17 14:45:00,60.0,60.0
3,3-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,sultan ibrahim,Event Description,Cameraman,Assistant Needed,no 4G,4:20,2023-08-17 11:00:00,2023-08-17 15:20:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:40,MXF-HD 50i,PKG report-Claudie Abi Hanna: Amal CPL controversy / Duration: 2Mins 40Secs,2023-08-17 15:00:00,2023-08-17 16:30:00,260.0,90.0
4,3-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,jnah,Event Description,Cameraman,Assistant Needed,no 4G,5:15,2023-08-17 10:15:00,2023-08-17 15:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:25,MXF,PKG report-Leila Khalil: Corona - Omicron / Duration: 2Mins 25Secs,2023-08-17 16:30:00,2023-08-17 18:30:00,315.0,120.0
6,3-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 10:30:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia  ,0,0,90.0,0.0
7,4-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 16:30:00,2023-08-17 18:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,90.0,0.0
8,4-Jan-22,russia today,crew + edit, $280.00 ,Suzuki Cias,ein el mraysse,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 13:00:00,2023-08-17 14:30:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:14,MP4-HD,PKG report-Omar el Solh: Lebanon and Saudi Arabia relations / Duration: 3Mins 14Secs,2023-08-17 13:50:00,2023-08-17 14:50:00,90.0,60.0
11,4-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:00:00,2023-08-17 12:00:00,Sony S150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
12,5-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,tarriq el jdide,Event Description,Cameraman,Assistant Needed,no 4G,2:25,2023-08-17 11:20:00,2023-08-17 13:45:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:36,MXF,PKG report-Claudie Abi Hanna: Facing the financial crisis / Duration: 2Mins 36Secs,2023-08-17 15:15:00,2023-08-17 17:15:00,145.0,120.0
13,5-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,3:55,2023-08-17 18:35:00,2023-08-17 22:30:00,Sony S150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report - Namnamat - Play-Ziad Itani- Sett Donia - Leila Khalil- /Duration:3 mins 13 seconds,0,0,235.0,0.0
