,GVG Focus 75,LDX-80,Sony,Lenses: Tele lens,Lenses: Box lenses,Lenses:Fujinon,Canon Digisuper 75 XSW / EDFS,Video server,Headset microphones,Handled microphone,Audio monitor,Audio Mixer,Microphones,video server,LCD Screen,Wireless intercom.1,view finders,HF wireless,BLT slow motion,Playout server,Converters from HDMI to SDI,Other Accessories,CAMERAMEN STUDIO OPERATOR,Technician OBVAN,Price,Month,DayOfWeek,CLIENT_Other,CLIENT_Russia Today,CLIENT_Skynews Arabia,Distance_Category
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,0,0,0,0,1.0
1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2225,1,1,0,0,1,2.0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,2,0,0,0,1.0
3,6,0,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3000,1,5,0,0,0,1.0
4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,5,0,0,0,1.0
5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3500,1,6,0,0,0,1.0
6,6,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3000,1,0,0,0,0,1.0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,0,0,0,0,1.0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,1,0,0,0,1.0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,2,0,0,0,1.0
10,6,0,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3000,1,2,0,0,0,1.0
11,6,0,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3000,1,4,0,0,0,1.0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,5,0,0,0,1.0
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,6,0,0,0,1.0
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,0,0,0,0,1.0
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,2,0,0,0,1.0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,2,0,0,0,1.0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,3,0,0,0,1.0
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,5,0,0,0,1.0
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,1,0,0,0,1.0
20,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1000,1,2,0,1,0,1.0
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,2,0,0,0,1.0
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,3,0,0,0,1.0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1,5,0,0,0,1.0
