Job No,Date,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Txp,Sat Charges Paid,Sat Provider,Duration,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Camera,Guest fee,Duration_in_minutes
2,01-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
3,01-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,1:00,850,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,60
4,01-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
5,01-Jan-22,bloomberg asharq,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,4(4thfloor),,Payment,15
6,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
7,01-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,10:30,"1,050.00",Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,630
8,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
9,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
10,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:35,56,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,35
11,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
12,01-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Other Txp,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
13,02-Jan-22,bloomberg asharq,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,4(4thfloor),,Payment,15
15,02-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
16,02-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:30,475,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,30
17,02-Jan-22,al mamlaka,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,300,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,20
18,02-Jan-22,al mamlaka,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,300,Engineer,Comment,Guest / Reporter,other,,Payment,20
19,02-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:40,64,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,40
20,02-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:00,"1,100.00",Engineer,Comment,No Guest / Reporter,No Studio,,Payment,660
21,02-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
22,02-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
23,02-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:30,48,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,30
24,03-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:40,260,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,40
26,03-Jan-22,other,other txn,NO Cameraman,DownLink Dish,NO Specific Location,E7B,Other Slots,Client,No Sat Provider,2:20,100,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,140
27,03-Jan-22,bbc arabic,live studio transmission,Cameraman,FLW,NO Specific Location,E16A,Ch X,Client,No Sat Provider,0:25,425,Engineer,No Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,No Payment,25
28,03-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
29,03-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,35
30,03-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Other Ch,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,other,Sony HDV270,Payment,35
31,03-Jan-22,russian today,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:35,350,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,35
32,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
33,03-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:00,"1,100.00",Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,660
