,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Sat Provider,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Guest fee,Duration_in_minutes,Month,DayOfWeek,Txp_AlGhad Slot 2,Txp_AlGhad Slot 3,Txp_B2,Txp_Ch 1,Txp_Ch 3,Txp_Ch X,Txp_Ch Y,Txp_Link,Txp_No Txp,Txp_Other Ch,Txp_Other Slots,Txp_Other Txp,Txp_Output 1,Txp_Output 2,Txp_Output 3,Txp_Output 4,Txp_Slot 1 7A,Txp_Slot 2 7A,Txp_Slot 3 7A,Txp_Slot 4 7A,Camera_Canon C305,Camera_Canon XF305,Camera_Sony HDV270,Camera_Sony S150,Camera_Sony XDcam,Camera_Sony XDcam X150,Camera_Sony XDcam X190,Camera_Sony XDcam X320,Sat Charges Paid_ISOL,Sat Charges Paid_No Sat Charges
0,0,3,1,4,0,0,0,120,1,1,1,2,1,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3,1,5,0,4,0,850,1,1,1,1,1,60,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,1,5,0,4,0,285,1,1,1,1,1,15,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,1,4,0,0,0,130,1,1,1,1,1,15,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,3,0,0,0,4,1,32,1,1,0,0,0,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5,0,3,0,0,0,4,1,1050,1,1,0,0,0,630,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,0,3,0,0,0,4,1,24,1,1,0,0,0,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,0,3,0,0,0,4,1,32,1,1,0,0,0,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,0,3,0,0,0,4,1,56,1,1,0,0,0,35,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,3,0,0,0,4,1,72,1,1,0,0,0,45,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10,0,3,0,0,0,4,1,24,1,1,0,0,0,15,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,3,1,4,0,0,0,130,1,1,1,1,1,15,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,3,1,4,0,0,0,120,1,1,1,2,1,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
